source	hidden_k	surface_k	comparison	hidden_rule	surface_family	hidden_test_auroc	surface_test_auroc	delta_auroc_hidden_minus_surface	delta_auroc_ci_low	delta_auroc_ci_high	delta_auroc_p_two_sided_zero	delta_auroc_holm_p	hidden_pair_rank_accuracy	surface_pair_rank_accuracy	delta_pair_rank_accuracy_hidden_minus_surface	delta_pair_rank_accuracy_ci_low	delta_pair_rank_accuracy_ci_high	delta_pair_rank_accuracy_p_two_sided_zero	delta_pair_rank_accuracy_holm_p	n_pairs	n_rows	n_rank_pairs	pool_ks	pool_positions	layer	left_dropped	left_dropped_initial	pairs_dropped_pair_complete	pairs_dropped_pair_complete_initial	right_dropped	right_dropped_initial
pooled	16	8	feature_pooled_hidden_minus_surface	feature_cumulative_mean_layer28	char_tfidf	0.6887601990687342	0.7068862403349139	-0.01812604126617967	-0.03953684346832412	0.004193465921226895	0.136		0.6805555555555556	0.6895424836601307	-0.008986928104575131	-0.03732018334784668	0.018381076388888848	0.532		612	1224	612	4,8,16	cot_4,cot_8,cot_16	28	0		0		0	
strongreject_full	16	16	feature_pooled_hidden_minus_surface	feature_cumulative_mean_layer28	char_tfidf	0.7060759295703058	0.7436757940283335	-0.037599864458027654	-0.07002013580263002	-0.004837317050919448	0.028		0.6768953068592057	0.7021660649819494	-0.02527075812274371	-0.06753766478342753	0.02288345962895216	0.308		277	554	277	4,8,16	cot_4,cot_8,cot_16	28	0	0	0	0	0	0
reasoningshield	16	16	feature_pooled_hidden_minus_surface	feature_cumulative_mean_layer28	char_tfidf	0.6820093562040543	0.740815326353308	-0.058805970149253706	-0.08671051459122293	-0.030864669191356674	0.0		0.6835820895522388	0.7104477611940299	-0.0268656716417911	-0.06146341463414637	0.010555281071585395	0.172		335	670	335	4,8,16	cot_4,cot_8,cot_16	28	0	0	0	0	0	0
pooled	16	16	feature_pooled_hidden_minus_surface	feature_cumulative_mean_layer28	char_tfidf	0.6887601990687342	0.7366490986372762	-0.04788889956854203	-0.06925187694903664	-0.025704389871416978	0.0		0.6805555555555556	0.7066993464052288	-0.02614379084967322	-0.05226426468433185	0.0006713554987212392	0.064		612	1224	612	4,8,16	cot_4,cot_8,cot_16	28	0		0		0	
strongreject_full	16	32	feature_pooled_hidden_minus_surface	feature_cumulative_mean_layer28	char_tfidf	0.7060759295703058	0.7531572156550979	-0.04708128608479201	-0.07790454065607524	-0.014914178472285527	0.004		0.6768953068592057	0.7148014440433214	-0.03790613718411562	-0.08091417393712784	0.005763888888888859	0.12		277	554	277	4,8,16	cot_4,cot_8,cot_16	28	0	0	0	0	0	0
reasoningshield	16	32	feature_pooled_hidden_minus_surface	feature_cumulative_mean_layer28	char_tfidf	0.6820093562040543	0.7628202272220984	-0.08081087101804407	-0.10743038538650035	-0.053403653374916496	0.0		0.6835820895522388	0.7686567164179104	-0.08507462686567169	-0.11996273712737127	-0.048769750618694103	0.0		335	670	335	4,8,16	cot_4,cot_8,cot_16	28	0	0	0	0	0	0
pooled	16	32	feature_pooled_hidden_minus_surface	feature_cumulative_mean_layer28	char_tfidf	0.6887601990687342	0.748527542825409	-0.05976734375667481	-0.08153988583450807	-0.03817755724294073	0.0		0.6805555555555556	0.744281045751634	-0.06372549019607843	-0.09456187393306925	-0.03739849381137002	0.0		612	1224	612	4,8,16	cot_4,cot_8,cot_16	28	0		0		0	
strongreject_full	16	64	feature_pooled_hidden_minus_surface	feature_cumulative_mean_layer28	char_tfidf	0.7060759295703058	0.7970454456593986	-0.09096951608909276	-0.12435536107599468	-0.05818595315982224	0.0		0.6768953068592057	0.8032490974729242	-0.12635379061371843	-0.165730860299921	-0.08403801805898403	0.0		277	554	277	4,8,16	cot_4,cot_8,cot_16	28	0	0	0	0	0	0
reasoningshield	16	64	feature_pooled_hidden_minus_surface	feature_cumulative_mean_layer28	char_tfidf	0.6820093562040543	0.7806861216306527	-0.09867676542659831	-0.12585932278903994	-0.07001737580752952	0.0		0.6835820895522388	0.7985074626865671	-0.11492537313432838	-0.14988526570048305	-0.08070847851335664	0.0		335	670	335	4,8,16	cot_4,cot_8,cot_16	28	0	0	0	0	0	0
pooled	16	64	feature_pooled_hidden_minus_surface	feature_cumulative_mean_layer28	char_tfidf	0.6887601990687342	0.7835848391644239	-0.0948246400956897	-0.11828143021914647	-0.07111033683625959	0.0		0.6805555555555556	0.8006535947712419	-0.12009803921568629	-0.14664699696190697	-0.09312136618171103	0.0		612	1224	612	4,8,16	cot_4,cot_8,cot_16	28	0		0		0	
